SampleID,Group,Air temperature_BYB,Precipition_BYB,Air temperature_YQ,Precipition_YQ,WL,TDS,WT,TN,Chl.a,observed_ASVs,shannon,faith_PD,ecological_stability,functional_structure,FRI
B22A08,B,10.4,96.8,22.6,18.5,1047.31,983,25.4,0.669,2.94,481,6.364234893,42.05690438,0.7675487,-0.065820091,-0.168343121
B22A09,B,10.4,96.8,22.6,18.5,1047.31,972,25.4,0.645,3.25,602,6.627960116,51.56720077,0.7398858,-0.058065604,0.084534582
B22A10,B,10.4,96.8,22.6,18.5,1047.31,968,25.4,0.712,1.52,549,6.660887586,42.76020653,0.7320639,-0.034984682,0.021035338
B22A11,B,10.4,96.8,22.6,18.5,1047.31,969,25.3,0.718,3.8,617,6.78459774,60.1650546,0.7485698,-0.089209987,0.064162385
B22A12,B,10.4,96.8,22.6,18.5,1047.31,909,25.3,0.648,2.75,568,6.900543346,45.18436599,0.7476162,-0.019186027,-0.040098379
B22A13,B,10.4,96.8,22.6,18.5,1047.31,944,25.2,0.624,2.39,542,6.612734846,42.46089486,0.7364128,0.02343863,-0.005702672
B22A14,B,10.4,96.8,22.6,18.5,1047.31,936,25.3,0.675,2.23,520,6.669174475,42.19881248,0.7437953,-0.012566835,-0.041724335
B22A15,B,10.4,96.8,22.6,18.5,1047.31,960,25.9,0.624,1.53,445,6.139792726,36.0166536,0.7550582,0.017235011,-0.093720549
B22A16,B,10.4,96.8,22.6,18.5,1047.31,960,26,0.664,1.99,419,6.288450714,34.49893754,0.7214522,0.022360484,-0.181295772
B22A17,B,10.4,96.8,22.6,18.5,1047.31,970,26.1,0.724,1.79,556,6.553142451,42.40567077,0.7085508,0.048910591,0.009537523
B22B01,B,10.4,96.8,22.6,18.5,1047.08,961,26.2,0.8,2.02,592,6.805017483,47.66075042,0.7457968,-0.050759471,0.037268925
B22B04,B,10.4,96.8,22.6,18.5,1047.08,956,26.2,0.893,1.76,831,7.278529065,62.33181597,0.3444468,0.025894213,0.288302495
B22B05,B,10.4,96.8,22.6,18.5,1047.08,964,26.8,0.781,1.7,589,6.660632438,48.17549548,0.7478371,-0.052461457,0.060736815
B22B07,B,10.4,96.8,22.6,18.5,1047.08,997,26.6,0.724,2.85,886,7.855755091,75.4922003,0.3645674,-0.076261128,0.308306715
B22B13,B,10.4,96.8,22.6,18.5,1047.08,944,26.2,0.624,2.39,656,6.823723693,49.79096484,0.7389647,-0.045307391,0.103895396
B22B14,B,10.4,96.8,22.6,18.5,1047.08,936,26.7,0.675,2.23,796,7.703808167,56.09229547,0.3012931,0.000199339,0.270969902
B22B15,B,10.4,96.8,22.6,18.5,1047.08,960,26,0.624,1.53,542,6.595917222,41.12432755,0.7609494,0.003514668,-0.000868714
B22B17,B,10.4,96.8,22.6,18.5,1047.08,970,27,0.724,1.79,450,6.189949222,36.3484647,0.7868909,-0.0589266,-0.150971631
