,climate,environment,diversity,ecological_stability,functional_structure,FRI
B11C09,-0.934412138,-1.324832939,1.114403436,0.7267689,-0.10591836,0.043096703
B11C10,-0.934412138,-1.441038408,0.357698568,0.737777,-0.091769812,-0.080905467
B21A01,1.076352009,2.31989548,-1.144459054,0.7491687,0.013709182,0.00875617
B21A02,1.076352009,2.608908582,-0.359580254,0.7162231,-0.065851849,-0.076045945
B21A03,1.076352009,2.335136161,-0.899940124,0.7434421,0.084713396,-0.028768884
B21A04,1.076352009,2.082013577,2.188925412,0.5150879,-0.10142831,0.299555209
B21A05,1.076352009,2.711641175,-2.611830935,0.7914515,0.031729403,-0.278996744
B21A06,1.076352009,2.672381279,0.392706224,0.7234061,-0.0039081,0.117848893
B21A07,1.076352009,2.307053377,0.671558098,0.7191457,-0.039327627,0.146339292
B21A08,1.076352009,2.670488236,-3.679207175,0.7843505,0.119751547,-0.193995883
B21A09,1.076352009,2.419282921,0.081381264,0.679729,-0.036078567,0.118698444
B21A10,1.076352009,2.675718848,-1.902385464,0.755571,0.048236752,-0.118990971
B21B01,-2.659720447,1.406439088,0.410025004,0.7121917,-0.026911422,0.15756066
B21B02,-2.659720447,1.548733812,1.386944038,0.6664052,-0.055455728,0.279045804
B21B03,-2.659720447,1.739336104,-0.153666189,0.7156875,-0.049468797,0.034759914
B21B04,-2.659720447,1.135060014,2.512953917,0.5836109,-0.042244184,0.320668347
B21B05,-2.659720447,1.553190551,1.098675985,0.7140203,-0.056008436,0.186262427
B21B06,-2.659720447,1.427135967,2.057297321,0.6073086,-0.037416782,0.306791283
B21B07,-2.659720447,1.518376488,0.800969961,0.7204845,-0.067440178,0.212571157
B21B08,-2.659720447,1.610008677,1.160344853,0.6147338,-0.008854697,0.223528168
B21B09,-2.659720447,1.670596132,0.634503452,0.7010131,-0.035524047,0.154830246
B21B10,-2.659720447,1.759682839,-1.177079595,0.7908992,-0.0313532,-0.276442376
B22A01,1.410465403,1.119180297,-0.311747809,0.7549638,-0.057046495,-0.165560856
B22A02,1.410465403,1.269551129,1.808315533,0.5629034,-0.038051686,0.183719186
B22A03,1.410465403,0.769279859,0.156758565,0.6645112,0.029506931,0.005197085
B22A04,1.410465403,0.951178852,0.09835959,0.7008527,0.029532098,0.048419663
B22A05,1.410465403,1.154285381,0.5684411,0.6988635,-0.034631372,0.03528849
B22A06,1.410465403,1.349840939,0.054525152,0.7553181,0.029032045,-0.050120368
B22A07,1.410465403,1.365923061,1.452321387,0.6446783,-0.092946498,0.128391168
B22A08,1.410465403,1.528691632,-0.099696126,0.7675487,-0.065820091,-0.168343121
B22A09,1.410465403,1.649871912,1.006146778,0.7398858,-0.058065604,0.084534582
B22A10,1.410465403,1.259762448,0.384599173,0.7320639,-0.034984682,0.021035338
B22A11,1.410465403,1.573567765,1.57461158,0.7485698,-0.089209987,0.064162385
B22A12,1.410465403,1.70110085,0.719648402,0.7476162,-0.019186027,-0.040098379
B22A13,1.410465403,1.620468305,0.313433442,0.7364128,0.02343863,-0.005702672
B22A14,1.410465403,1.508221215,0.244581932,0.7437953,-0.012566835,-0.041724335
B22A15,1.410465403,1.493143501,-0.669621086,0.7550582,0.017235011,-0.093720549
B22A16,1.410465403,1.478307126,-0.761252323,0.7214522,0.022360484,-0.181295772
B22A17,1.410465403,1.301904698,0.332614181,0.7085508,0.048910591,0.009537523
B22B01,1.410465403,1.04621295,0.880696934,0.7457968,-0.050759471,0.037268925
B22B04,1.410465403,0.816937858,2.838292338,0.3444468,0.025894213,0.288302495
B22B05,1.410465403,1.062464604,0.808610126,0.7478371,-0.052461457,0.060736815
B22B07,1.410465403,1.274102284,4.036678947,0.3645674,-0.076261128,0.308306715
B22B13,1.410465403,1.519220813,1.254504559,0.7389647,-0.045307391,0.103895396
B22B14,1.410465403,1.425827153,2.644327371,0.3012931,0.000199339,0.270969902
B22B15,1.410465403,1.349475791,0.238954459,0.7609494,0.003514668,-0.000868714
B22B17,1.410465403,1.195943848,-0.603828413,0.7868909,-0.0589266,-0.150971631
